country_name,Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita
Kuwait,0.9258404330399481,0.0,4.0785685244121445e-05,5.098210655515181e-06,4.0785685244121445e-05,0.0,4.0785685244121445e-05,0.0,9.559144979090963e-07,4.0785685244121445e-05,4.0785685244121445e-05,4.0785685244121445e-05,4.0785685244121445e-05,915.0,9600031.0,2214.5352534894064
Syria,0.7001397511399373,0.0,8.673635968085042e-06,5.866227224791816e-07,8.673635968085042e-06,0.0,8.673635968085042e-06,4.1901623034227254e-08,0.0,8.673635968085042e-06,8.673635968085042e-06,8.673635968085042e-06,8.673635968085042e-06,1464.0,22000009.0,12.228988682539224
Yemen,0.3954344074919181,0.0,2.613529545515924e-06,2.1779412879299366e-07,2.613529545515924e-06,0.0,2.613529545515924e-06,0.0,0.0,2.613529545515924e-06,2.613529545515924e-06,2.613529545515924e-06,2.613529545515924e-06,595.0,6670002.0,25.213559588660317
Tunisia,0.4151472010256856,0.0,1.2781304901514235e-05,0.0,1.2781304901514235e-05,0.0,1.2781304901514235e-05,3.3198194549387627e-07,0.0,1.2781304901514235e-05,1.2781304901514235e-05,1.2781304901514235e-05,1.2781304901514235e-05,1082.0,8980007.0,116.19368092285669
Kenya,0.5804209687700138,0.0,2.6782780780243866e-06,3.433689843621009e-08,2.6782780780243866e-06,0.0,2.6782780780243866e-06,3.433689843621009e-08,0.0,2.6782780780243866e-06,2.6782780780243866e-06,2.6782780780243866e-06,2.6782780780243866e-06,1096.0,5000001.0,22.445753237295662
Libya,0.8071764197881289,0.0,1.9426011619743565e-05,5.433849404124074e-07,1.9426011619743565e-05,0.0,1.9426011619743565e-05,0.0,0.0,1.9426011619743565e-05,1.9426011619743565e-05,1.9426011619743565e-05,1.9426011619743565e-05,1005.0,3200004.0,415.6894794154917
Lebanon,0.2881260959859461,0.0,1.4912900273894054e-05,0.0,1.4912900273894054e-05,0.0,1.4912900273894054e-05,0.0,0.0,1.4912900273894054e-05,1.4912900273894054e-05,1.4912900273894054e-05,1.4912900273894054e-05,560.0,9500018.0,143.21050602639622
Nepal,0.29768074583839393,,4.81968157456298e-07,0.0,4.81968157456298e-07,,4.81968157456298e-07,0.0,0.0,4.81968157456298e-07,4.81968157456298e-07,4.81968157456298e-07,4.81968157456298e-07,105.0,9500003.0,13.144878214358101
Qatar,0.7845176641409596,0.0,9.835080202923958e-05,9.4040607517998e-06,9.835080202923958e-05,0.0,9.835080202923958e-05,0.0,0.0,9.835080202923958e-05,9.835080202923958e-05,9.835080202923958e-05,9.835080202923958e-05,1781.0,8155032.0,3695.7958754573215
Ireland,0.33366969554010184,0.0,4.203718303486296e-06,0.0,4.203718303486296e-06,0.0,4.203718303486296e-06,3.8215620940784513e-07,0.0,4.203718303486296e-06,4.203718303486296e-06,4.203718303486296e-06,4.203718303486296e-06,156.0,946501.0,286.61715705588387
Lithuania,0.27101342883101326,0.0,3.4244138640058717e-06,0.0,3.4244138640058717e-06,0.0,3.4244138640058717e-06,0.0,0.0,3.4244138640058717e-06,3.4244138640058717e-06,3.4244138640058717e-06,3.4244138640058717e-06,63.0,12700049.0,908.9535866359586
Ghana,0.328731290024628,0.0,5.493061064075893e-07,0.0,5.493061064075893e-07,0.0,5.493061064075893e-07,5.782169541132518e-08,0.0,5.493061064075893e-07,5.493061064075893e-07,5.493061064075893e-07,5.493061064075893e-07,135.0,1550000.0,8.91899651719691
Cameroon,0.4963343411823429,0.0,1.1302680420973822e-06,0.0,1.1302680420973822e-06,0.0,1.1302680420973822e-06,6.458674526270756e-08,0.0,1.1302680420973822e-06,1.1302680420973822e-06,1.1302680420973822e-06,1.1302680420973822e-06,247.0,4000001.0,17.921280867539497
